transaction_date,spending_type,category,subcategory,merchant_name,amount,description
2024-12-25,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,57000.0,
2024-12-25,Kebutuhan,Transportation,Fuel,Shell,97000.0,
2024-12-25,Keinginan,Pet,Food,Whiskas Direct,204000.0,
2024-12-25,Kebutuhan,Food,Dinner,RM Sunda Kelapa,80000.0,
2024-12-25,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,36000.0,
2024-12-25,Keinginan,Household,Household Assistance,Laundry Express,147000.0,
2024-12-26,Kebutuhan,Transportation,Fuel,Shell,34000.0,
2024-12-26,Kebutuhan,Food,Dinner,Nasi Padang Sederhana,107000.0,
2024-12-26,Keinginan,Pet,Litter,Petco,110000.0,
2024-12-26,Kebutuhan,"Communication, PC",Internet,Indihome,369000.0,
2024-12-26,Kebutuhan,Food,Breakfast,Indomaret Point,11000.0,
2024-12-26,Kebutuhan,Transportation,Motorcycle,AHASS Honda,195000.0,
2024-12-27,Kebutuhan,Food,Lunch,Kantin Pak RT,77000.0,
2024-12-27,Kebutuhan,Food,Lunch,Kantin Pak RT,31000.0,
2024-12-27,Keinginan,Pet,Medicine,Guardian Pet,95000.0,
2024-12-28,Kebutuhan,Transportation,Motorcycle,Yamaha Service,53000.0,
2024-12-28,Kebutuhan,Transportation,Motorcycle,Yamaha Service,75000.0,
2024-12-29,Keinginan,Pet,Food,Petco,169000.0,
2024-12-29,Keinginan,Relationship,Girlfriend,Plaza Indonesia,190000.0,
2024-12-29,Kebutuhan,Beauty,Beauty,Pangkas Rambut Jaya,65000.0,
2024-12-29,Kebutuhan,Transportation,Online Ride,Grab,44000.0,
2024-12-29,Keinginan,Transportation,Online Ride,Grab,24000.0,
2024-12-30,Kebutuhan,Food,Lunch,Bakso Akbar,37000.0,
2024-12-30,Kebutuhan,Household,Electric,PLN Prepaid,215000.0,
2024-12-30,Keinginan,Food,Beverages,Janji Jiwa,31000.0,
2024-12-31,Kebutuhan,Culture,Music,Spotify,67000.0,
2024-12-31,Kebutuhan,Food,Lunch,Geprek Bensu,30000.0,
2025-01-01,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,220000.0,
2025-01-01,Kebutuhan,Food,Lunch,Nasi Uduk Bang Udin,59000.0,
2025-01-01,Keinginan,"Communication, PC",Devices,Tokopedia,142000.0,
2025-01-02,Kebutuhan,Apparel,Laundry,Laundry Kiloan Bu Yanti,36000.0,
2025-01-02,Keinginan,Pet,Medicine,Vet Apothecary,93000.0,
2025-01-02,Keinginan,Other,,OVO Wallet,22000.0,
2025-01-03,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,381000.0,
2025-01-03,Keinginan,Relationship,Girlfriend,Senayan City,387000.0,
2025-01-03,Kebutuhan,Food,Lunch,Kantin Pak RT,76000.0,
2025-01-04,Kebutuhan,Food,Dinner,Warteg Bu Siti,50000.0,
2025-01-04,Kebutuhan,Food,Lunch,Mie Ayam Pak Dhe,22000.0,
2025-01-04,Kebutuhan,Food,Dinner,Warung Pak Budi,88000.0,
2025-01-05,Kebutuhan,Food,Lunch,Bakso Akbar,48000.0,
2025-01-06,Kebutuhan,"Communication, PC",Internet,Indihome,105000.0,
2025-01-07,Keinginan,Relationship,Girlfriend,Plaza Indonesia,213000.0,
2025-01-08,Kebutuhan,Transportation,Toll,Flazz BCA,12000.0,
2025-01-09,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,366000.0,
2025-01-09,Kebutuhan,Transportation,Fuel,Pertamina,48000.0,
2025-01-09,Kebutuhan,Household,Bath,Watson,56000.0,
2025-01-09,Kebutuhan,Food,Lunch,Bakso Akbar,38000.0,
2025-01-10,Kebutuhan,Transportation,Toll,e-Toll Mandiri,46000.0,
2025-01-10,Keinginan,Relationship,Girlfriend,AEON Mall,232000.0,
2025-01-11,Keinginan,"Communication, PC",Games,Steam,49000.0,
2025-01-12,Kebutuhan,Transportation,Parking,Secure Parking,29000.0,
2025-01-13,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,98000.0,
2025-01-13,Kebutuhan,Household,Household Assistance,House Cleaning Service,479000.0,
2025-01-14,Kebutuhan,Food,Lunch,Mie Ayam Pak Dhe,82000.0,
2025-01-14,Keinginan,Relationship,Girlfriend,Senayan City,251000.0,
2025-01-15,Keinginan,Relationship,Girlfriend,Plaza Indonesia,371000.0,
2025-01-15,Keinginan,Relationship,Girlfriend,Grand Indonesia Mall,63000.0,
2025-01-16,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,103000.0,
2025-01-16,Kebutuhan,Food,Dinner,Warteg Bu Siti,25000.0,
2025-01-16,Keinginan,Household,Furniture,IKEA,825000.0,
2025-01-17,Kebutuhan,Life,Travel,Traveloka,225000.0,
2025-01-17,Kebutuhan,Food,Lunch,Geprek Bensu,35000.0,
2025-01-17,Keinginan,Relationship,Girlfriend,AEON Mall,337000.0,
2025-01-17,Keinginan,Culture,Books,Gramedia,84000.0,
2025-01-18,Kebutuhan,Food,Breakfast,Indomaret Point,21000.0,
2025-01-19,Keinginan,Food,Beverages,Teh Pucuk,34000.0,
2025-01-19,Keinginan,Food,Beverages,Fore Coffee,16000.0,
2025-01-20,Kebutuhan,Transportation,Toll,e-Toll Mandiri,66000.0,
2025-01-20,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,27000.0,
2025-01-20,Kebutuhan,Food,Lunch,Bakso Akbar,89000.0,
2025-01-22,Kebutuhan,Transportation,Fuel,Shell,84000.0,
2025-01-23,Keinginan,Pet,Grooming,Petshop Bersih,104000.0,
2025-01-24,Kebutuhan,Food,Dinner,RM Sunda Kelapa,21000.0,
2025-01-24,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,332000.0,
2025-01-24,Kebutuhan,Food,Lunch,Nasi Uduk Bang Udin,68000.0,
